collection_name,m,ef_construct,query_ef,full_scan_threshold,indexing_threshold,top_k,exact_latency_mean_ms,exact_latency_p50_ms,exact_latency_p95_ms,approx_latency_mean_ms,approx_latency_p50_ms,approx_latency_p95_ms,approx_server_time_mean_ms,recall_at_k_mean,recall_at_k_stddev,hit_at_1_mean,build_secs,wait_index_secs,indexed_vectors_count,points_count,segments_count,ram_data_size,disk_data_size
hnsw_formal_d128_n50000_m8_efc64_fs10,8,64,16,10,10,10,6.483629579888657,6.7870315397158265,7.384954357985406,2.428409595740959,2.4057915434241295,2.639131469186395,0.28022537999999986,0.5569999999999999,0.2178325044615702,0.67,9.174143022857606,1.017542237881571,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc64_fs10,8,64,32,10,10,10,6.483629579888657,6.7870315397158265,7.384954357985406,2.4085987743455917,2.405008999630809,2.68806554377079,0.323820545,0.7165000000000008,0.20851318903129365,0.82,9.174143022857606,1.017542237881571,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc64_fs10,8,64,64,10,10,10,6.483629579888657,6.7870315397158265,7.384954357985406,2.3768369504250586,2.3559535620734096,2.6070956140756607,0.4095269849999999,0.8590000000000008,0.15690442951045072,0.9,9.174143022857606,1.017542237881571,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc64_fs10,8,64,128,10,10,10,6.483629579888657,6.7870315397158265,7.384954357985406,2.511662581237033,2.485324046574533,2.729437500238418,0.5792210499999999,0.9470000000000013,0.09638983348880731,0.955,9.174143022857606,1.017542237881571,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc64_fs10,8,64,256,10,10,10,6.483629579888657,6.7870315397158265,7.384954357985406,2.608253356302157,2.6521013351157308,3.0310047441162165,0.669080755,0.9760000000000006,0.050239426748321867,0.985,9.174143022857606,1.017542237881571,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc128_fs10,8,128,16,10,10,10,7.007413340033963,7.098961505107582,7.738830975722521,2.1578156074974686,2.172888955101371,2.482906775549054,0.2730129850000001,0.555,0.21673716801693244,0.66,9.197272162884474,1.0196987160015851,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc128_fs10,8,128,32,10,10,10,7.007413340033963,7.098961505107582,7.738830975722521,2.3234530922491103,2.2819910664111376,2.5402067694813013,0.3285363749999999,0.7200000000000002,0.21470910553583888,0.805,9.197272162884474,1.0196987160015851,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc128_fs10,8,128,64,10,10,10,7.007413340033963,7.098961505107582,7.738830975722521,1.9225969002582133,2.022814005613327,2.557178202550858,0.38103558500000007,0.8695000000000012,0.19214512744277437,0.91,9.197272162884474,1.0196987160015851,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc128_fs10,8,128,128,10,10,10,7.007413340033963,7.098961505107582,7.738830975722521,2.5387992861215025,2.528540324419737,2.888616581913084,0.57532605,0.9585000000000008,0.1132596574248748,0.965,9.197272162884474,1.0196987160015851,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc128_fs10,8,128,256,10,10,10,7.007413340033963,7.098961505107582,7.738830975722521,2.9073156777303666,2.880167099647224,3.2682428136467934,0.8537339399999999,0.9925000000000003,0.02633913438213184,0.99,9.197272162884474,1.0196987160015851,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc256_fs10,8,256,16,10,10,10,6.6958963754586875,6.927237380295992,7.496426277793944,2.404333680169657,2.3957424564287066,2.5991765432991087,0.25417439499999994,0.5684999999999998,0.22081157125476916,0.7,9.196264012949541,1.0165999149903655,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc256_fs10,8,256,32,10,10,10,6.6958963754586875,6.927237380295992,7.496426277793944,2.4247222277335823,2.4056530091911554,2.671138884034008,0.3277689900000001,0.7355000000000005,0.2092600057344929,0.83,9.196264012949541,1.0165999149903655,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc256_fs10,8,256,64,10,10,10,6.6958963754586875,6.927237380295992,7.496426277793944,2.520406877156347,2.5136523181572556,2.760589844547212,0.42432812499999956,0.8930000000000012,0.13656866404852908,0.935,9.196264012949541,1.0165999149903655,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc256_fs10,8,256,128,10,10,10,6.6958963754586875,6.927237380295992,7.496426277793944,2.6250493607949466,2.596293459646404,2.9404595843516286,0.5913251650000003,0.9690000000000007,0.05778408085277466,0.985,9.196264012949541,1.0165999149903655,50000,50000,2,,
hnsw_formal_d128_n50000_m8_efc256_fs10,8,256,256,10,10,10,6.6958963754586875,6.927237380295992,7.496426277793944,2.934359376085922,2.9400609200820327,3.275945072527975,0.8847694399999996,0.997,0.019773719933285184,0.995,9.196264012949541,1.0165999149903655,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc64_fs10,16,64,16,10,10,10,7.013271631440148,7.024057093076408,7.548066636081785,2.4295738339424133,2.433230052702129,2.708359435200691,0.31693377499999986,0.725,0.18214005600086985,0.835,9.346695926273242,1.0185020321514457,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc64_fs10,16,64,32,10,10,10,7.013271631440148,7.024057093076408,7.548066636081785,2.475674106972292,2.454291097819805,2.6950304978527124,0.4017464300000001,0.8720000000000008,0.16036209028320877,0.915,9.346695926273242,1.0185020321514457,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc64_fs10,16,64,64,10,10,10,7.013271631440148,7.024057093076408,7.548066636081785,2.56468842853792,2.5355244288221,2.8400289360433812,0.5489633899999997,0.9675000000000007,0.0899652710772329,0.98,9.346695926273242,1.0185020321514457,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc64_fs10,16,64,128,10,10,10,7.013271631440148,7.024057093076408,7.548066636081785,2.7536071883514524,2.7121680323034525,3.10725470772013,0.7468943949999997,0.9910000000000001,0.0729314746868593,0.995,9.346695926273242,1.0185020321514457,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc64_fs10,16,64,256,10,10,10,7.013271631440148,7.024057093076408,7.548066636081785,2.974197652656585,2.9631474753841758,3.270958724897355,0.9870430700000005,0.9995,0.007053367989832941,1.0,9.346695926273242,1.0185020321514457,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc128_fs10,16,128,16,10,10,10,6.9319229235406965,6.979365018196404,7.4918358586728555,2.293849732959643,2.297188388183713,2.5215968140400933,0.3026492499999999,0.7335,0.17328516959047593,0.825,9.443814022932202,1.0166715749073774,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc128_fs10,16,128,32,10,10,10,6.9319229235406965,6.979365018196404,7.4918358586728555,2.3463282524608076,2.335298457182944,2.5547931902110577,0.39566589500000005,0.8935000000000011,0.1269163110084752,0.96,9.443814022932202,1.0166715749073774,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc128_fs10,16,128,64,10,10,10,6.9319229235406965,6.979365018196404,7.4918358586728555,2.488583254162222,2.4750640150159597,2.7740226010791957,0.533449405,0.9710000000000006,0.05881326381013044,0.99,9.443814022932202,1.0166715749073774,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc128_fs10,16,128,128,10,10,10,6.9319229235406965,6.979365018196404,7.4918358586728555,2.184939027065411,1.9557210616767406,2.9175766743719573,0.7098940250000001,0.9975,0.015612494995995992,1.0,9.443814022932202,1.0166715749073774,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc128_fs10,16,128,256,10,10,10,6.9319229235406965,6.979365018196404,7.4918358586728555,2.2657408809754997,2.205356489866972,2.8650291380472463,1.0433576099999997,1.0,0.0,1.0,9.443814022932202,1.0166715749073774,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc256_fs10,16,256,16,10,10,10,6.848001225152984,6.771019427105784,7.364584133028984,2.45214773574844,2.4225586093962193,2.7620482491329312,0.32565463000000006,0.7400000000000003,0.15874507866387544,0.83,9.810911228880286,1.5237666231114417,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc256_fs10,16,256,32,10,10,10,6.848001225152984,6.771019427105784,7.364584133028984,2.357816699659452,2.334864460863173,2.5833845953457057,0.39175415,0.8910000000000015,0.11008632975987528,0.95,9.810911228880286,1.5237666231114417,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc256_fs10,16,256,64,10,10,10,6.848001225152984,6.771019427105784,7.364584133028984,2.5470407598186284,2.501686569303274,2.8628280386328697,0.5427158599999999,0.9755000000000006,0.05700657856774075,0.99,9.810911228880286,1.5237666231114417,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc256_fs10,16,256,128,10,10,10,6.848001225152984,6.771019427105784,7.364584133028984,2.7048992412164807,2.7004119474440813,2.9342402704060078,0.7564422049999997,0.9980000000000001,0.013999999999999997,1.0,9.810911228880286,1.5237666231114417,50000,50000,2,,
hnsw_formal_d128_n50000_m16_efc256_fs10,16,256,256,10,10,10,6.848001225152984,6.771019427105784,7.364584133028984,2.989162355661392,2.9591190395876765,3.270078985951841,1.0462319899999997,1.0,0.0,1.0,9.810911228880286,1.5237666231114417,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc64_fs10,32,64,16,10,10,10,6.786558339372277,6.818930967710912,7.348088664002716,2.32314953696914,2.3687740322202444,2.746765199117362,0.34103467000000015,0.8120000000000006,0.15184202316881845,0.85,9.36131248390302,1.018219067947939,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc64_fs10,32,64,32,10,10,10,6.786558339372277,6.818930967710912,7.348088664002716,2.412243242142722,2.3096654331311584,2.7676155557855964,0.4194167349999997,0.9355000000000011,0.12485892038617025,0.96,9.36131248390302,1.018219067947939,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc64_fs10,32,64,64,10,10,10,6.786558339372277,6.818930967710912,7.348088664002716,2.7349935087841004,2.7470914646983147,2.9733173782005906,0.5855868750000001,0.9805000000000004,0.10329448194361594,0.98,9.36131248390302,1.018219067947939,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc64_fs10,32,64,128,10,10,10,6.786558339372277,6.818930967710912,7.348088664002716,2.9177162842825055,2.93903099372983,3.28062567859888,0.8454898799999999,0.9975000000000002,0.015612494995995992,0.995,9.36131248390302,1.018219067947939,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc64_fs10,32,64,256,10,10,10,6.786558339372277,6.818930967710912,7.348088664002716,3.315383648732677,3.3108319621533155,3.606954682618379,1.1207224149999995,0.9980000000000001,0.013999999999999997,0.995,9.36131248390302,1.018219067947939,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,16,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,2.506325675640255,2.4769309675320983,2.7942437911406155,0.35470343,0.8265000000000005,0.12824878167062642,0.885,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,32,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,2.567386208102107,2.5540089700371027,2.818745980039239,0.4669853999999998,0.9470000000000011,0.07994373021069257,0.965,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,64,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,2.754502242896706,2.773988526314497,3.0408335849642754,0.6437159900000003,0.9920000000000002,0.028913664589601915,0.995,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,128,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,2.935377460671589,2.924076863564551,3.184953425079584,0.863311075,0.9984999999999999,0.012155245781143215,1.0,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc128_fs10,32,128,256,10,10,10,6.684901668922976,6.616206141188741,7.497395656537265,3.1365731998812407,3.0925379833206534,3.5928091849200428,1.1403814399999996,1.0,0.0,1.0,9.484130478696898,1.016245709033683,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,16,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,2.4930264183785766,2.4975419510155916,2.760171692352742,0.3878811149999998,0.8240000000000007,0.12297967311714567,0.85,9.910188641864806,1.525205944897607,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,32,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,2.6483396522235125,2.633693045936525,2.9265335295349355,0.4992003050000001,0.944000000000001,0.08404760555780277,0.965,9.910188641864806,1.525205944897607,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,64,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,2.7038465079385787,2.7038725093007088,3.030543203931302,0.6491641600000001,0.9925000000000002,0.03864906208435077,0.995,9.910188641864806,1.525205944897607,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,128,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,2.9727071488741785,2.9635870596393943,3.2406350364908576,0.906486855,0.9985,0.012155245781143215,1.0,9.910188641864806,1.525205944897607,50000,50000,2,,
hnsw_formal_d128_n50000_m32_efc256_fs10,32,256,256,10,10,10,7.130889319814742,7.134523009881377,7.743517437484115,3.20418584626168,3.1926233787089586,3.479943727143109,1.16786193,1.0,0.0,1.0,9.910188641864806,1.525205944897607,50000,50000,2,,
