upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard
100,20,4,1000,10,0.8833,158.5659264907178,6.306525128893554,15.186,100.0,46.34005004609509
100,20,6,1000,10,0.8993,150.8003181852377,6.631285742856562,15.186,100.0,59.51007506914263
100,20,8,1000,10,0.9113,140.20166777642513,7.13258277066052,15.186,100.0,72.68010009219017
100,20,10,1000,10,0.92,135.93838152201468,7.356274135410786,15.186,100.0,85.85012511523772
100,20,12,1000,10,0.9269,121.3516424963756,8.24051475059241,15.186,100.0,99.02015013828526
100,24,4,1000,10,0.8885,164.5001706662242,6.079021048732102,15.186,100.0,50.34005004609509
100,24,6,1000,10,0.9024,147.40099013761082,6.784214943647385,15.186,100.0,63.51007506914263
100,24,8,1000,10,0.9139,134.34448334668937,7.443550900556147,15.186,100.0,76.68010009219017
100,24,10,1000,10,0.9223,132.10113050305378,7.569957926869392,15.186,100.0,89.85012511523772
100,24,12,1000,10,0.9282,128.28460487302786,7.795167635194957,15.186,100.0,103.02015013828526
100,28,4,1000,10,0.8918,170.69291959222497,5.858473815955222,15.186,100.0,54.34005004609509
100,28,6,1000,10,0.9054,155.99469894319964,6.41047424543649,15.186,100.0,67.51007506914263
100,28,8,1000,10,0.9161,144.50457813093047,6.920195975340903,15.186,100.0,80.68010009219017
100,28,10,1000,10,0.9241,137.4350365426731,7.276164980605245,15.186,100.0,93.85012511523772
100,28,12,1000,10,0.93,127.52032266834253,7.841887309215963,15.186,100.0,107.02015013828526
100,32,4,1000,10,0.8947,171.59637175562847,5.827629044651985,15.186,100.0,58.34005004609509
100,32,6,1000,10,0.9085,157.0004604353019,6.36940807197243,15.186,100.0,71.51007506914263
100,32,8,1000,10,0.9189,150.08244248936543,6.663004568777978,15.186,100.0,84.68010009219017
100,32,10,1000,10,0.9257,135.42735617327736,7.384032504633069,15.186,100.0,97.85012511523772
100,32,12,1000,10,0.9311,128.48141156036885,7.783227066509426,15.186,100.0,111.02015013828526
150,20,4,1000,10,0.9043,134.73049314200978,7.422224744223058,19.11,150.0,51.397174254317115
150,20,6,1000,10,0.9212,117.94454093745259,8.47856112755835,19.11,150.0,67.09576138147567
150,20,8,1000,10,0.9317,109.9089625642321,9.098439077846706,19.11,150.0,82.79434850863423
150,20,10,1000,10,0.939,98.04214460423874,10.199695284478366,19.11,150.0,98.49293563579278
150,20,12,1000,10,0.9456,92.86608240241507,10.768194093368948,19.11,150.0,114.19152276295134
150,24,4,1000,10,0.9076,128.79049874923274,7.76454792637378,19.11,150.0,55.397174254317115
150,24,6,1000,10,0.9235,115.7175556585835,8.641731103882194,19.11,150.0,71.09576138147567
150,24,8,1000,10,0.9345,103.96142848598045,9.618952091783285,19.11,150.0,86.79434850863423
150,24,10,1000,10,0.9416,96.03888319714231,10.412449277937412,19.11,150.0,102.49293563579278
150,24,12,1000,10,0.9469,91.62260867647099,10.914336695335805,19.11,150.0,118.19152276295134
150,28,4,1000,10,0.9109,126.2177819277824,7.922813923098147,19.11,150.0,59.397174254317115
150,28,6,1000,10,0.9266,114.50265792524912,8.73342172242701,19.11,150.0,75.09576138147567
150,28,8,1000,10,0.9365,105.91601961144609,9.441442415118217,19.11,150.0,90.79434850863423
150,28,10,1000,10,0.9433,98.78325398682414,10.12317330762744,19.11,150.0,106.49293563579278
150,28,12,1000,10,0.9481,93.45932150251141,10.699842283502221,19.11,150.0,122.19152276295134
150,32,4,1000,10,0.915,130.22434568250785,7.679055669344962,19.11,150.0,63.397174254317115
150,32,6,1000,10,0.9289,115.76027437340767,8.638542068190873,19.11,150.0,79.09576138147567
150,32,8,1000,10,0.9386,106.59731835926459,9.381099031306803,19.11,150.0,94.79434850863423
150,32,10,1000,10,0.9446,96.7296256927425,10.338094382546842,19.11,150.0,110.49293563579278
150,32,12,1000,10,0.9489,96.07291869566518,10.408760487101972,19.11,150.0,126.19152276295134
200,20,4,1000,10,0.9191,112.23730315921843,8.90969376359135,22.167,200.0,56.089682861911854
200,20,6,1000,10,0.9356,97.35410333349817,10.271780703216791,22.167,200.0,74.13452429286778
200,20,8,1000,10,0.9438,89.12026369297132,11.220792652107775,22.167,200.0,92.17936572382371
200,20,10,1000,10,0.9513,82.69262209742702,12.092977277003229,22.167,200.0,110.22420715477963
200,20,12,1000,10,0.9563,76.96994952133352,12.992083354853094,22.167,200.0,128.26904858573556
200,24,4,1000,10,0.9224,106.74542238971347,9.368083217181265,22.167,200.0,60.089682861911854
200,24,6,1000,10,0.9372,99.26557916439094,10.073985448107123,22.167,200.0,78.13452429286778
200,24,8,1000,10,0.9454,96.44020945301679,10.369118914939463,22.167,200.0,96.17936572382371
200,24,10,1000,10,0.9526,91.30633575221046,10.952142496593297,22.167,200.0,114.22420715477963
200,24,12,1000,10,0.958,75.02358982513735,13.329140905290842,22.167,200.0,132.26904858573556
200,28,4,1000,10,0.9251,104.02965152195893,9.612643946893513,22.167,200.0,64.08968286191185
200,28,6,1000,10,0.9387,98.06588435514043,10.197226146236062,22.167,200.0,82.13452429286778
200,28,8,1000,10,0.9469,90.81395776135415,11.011523169465363,22.167,200.0,100.17936572382371
200,28,10,1000,10,0.9542,87.22718014800891,11.464316492900252,22.167,200.0,118.22420715477963
200,28,12,1000,10,0.9588,77.0829727418552,12.97303366009146,22.167,200.0,136.26904858573556
200,32,4,1000,10,0.9274,116.60747177090855,8.575779791921377,22.167,200.0,68.08968286191185
200,32,6,1000,10,0.9407,106.0369957604837,9.430670803412795,22.167,200.0,86.13452429286778
200,32,8,1000,10,0.9493,88.94958551626712,11.242323325015604,22.167,200.0,104.17936572382371
200,32,10,1000,10,0.9553,85.93314979374162,11.636952705681324,22.167,200.0,122.22420715477963
200,32,12,1000,10,0.9598,85.46669221204824,11.700464521534741,22.167,200.0,140.26904858573556
300,20,4,1000,10,0.9373,80.83453619502096,12.370949931442738,26.561,300.0,65.17902187417643
300,20,6,1000,10,0.9512,75.11571476311398,13.31279351003468,26.561,300.0,87.76853281126463
300,20,8,1000,10,0.9603,78.47197287159501,12.743403324857354,26.561,300.0,110.35804374835284
300,20,10,1000,10,0.9658,64.01815126083147,15.620569796301425,26.561,300.0,132.94755468544105
300,20,12,1000,10,0.9701,62.82605165113458,15.916963961906731,26.561,300.0,155.53706562252927
300,24,4,1000,10,0.9397,85.53877399749945,11.690604778006673,26.561,300.0,69.17902187417643
300,24,6,1000,10,0.9528,79.72591149889892,12.542973560281098,26.561,300.0,91.76853281126463
300,24,8,1000,10,0.9615,74.95680966560374,13.341016039252281,26.561,300.0,114.35804374835284
300,24,10,1000,10,0.9666,60.18583255928882,16.61520589608699,26.561,300.0,136.94755468544105
300,24,12,1000,10,0.9705,62.97321880304818,15.879766335710883,26.561,300.0,159.53706562252927
300,28,4,1000,10,0.942,79.84177758598837,12.524771244265139,26.561,300.0,73.17902187417643
300,28,6,1000,10,0.954,75.63047203750513,13.222183771431446,26.561,300.0,95.76853281126463
300,28,8,1000,10,0.9627,64.71493895246054,15.452382652089,26.561,300.0,118.35804374835284
300,28,10,1000,10,0.9675,60.49318560737411,16.530787558294833,26.561,300.0,140.94755468544105
300,28,12,1000,10,0.9712,56.43581563751169,17.719244219362736,26.561,300.0,163.53706562252927
300,32,4,1000,10,0.9435,79.99483670540371,12.500806816853583,26.561,300.0,77.17902187417643
300,32,6,1000,10,0.9557,79.58267677118886,12.565548691898584,26.561,300.0,99.76853281126463
300,32,8,1000,10,0.9635,71.30904184471801,14.023467068560421,26.561,300.0,122.35804374835284
300,32,10,1000,10,0.9681,59.68377679982457,16.754971846938133,26.561,300.0,144.94755468544105
300,32,12,1000,10,0.9722,57.578957392803005,17.367455842904747,26.561,300.0,167.53706562252927
